"ID","Case Number","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location","Date"
11573269,"JC124691","039XX W MONROE ST","2092","NARCOTICS","SOLICIT NARCOTICS ON PUBLICWAY","PARKING LOT/GARAGE(NON.RESID.)","true","false",1122,11,28,26,"18",1150042,1899368,2019,"01/28/2019 04:14:23 PM",41.879774973,-87.724529902,"(41.879774973, -87.724529902)",01/21/2019 04:42:00 PM
11573545,"JC125008","006XX S LAWNDALE AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","true","true",1133,11,24,27,"08B",1151816,1896984,2019,"01/28/2019 04:14:23 PM",41.873198301,-87.718078722,"(41.873198301, -87.718078722)",01/21/2019 11:00:00 PM
11573638,"JC125112","006XX N STATE ST","1330","CRIMINAL TRESPASS","TO LAND","HOTEL/MOTEL","true","false",1832,18,42,8,"26",1176262,1904268,2019,"01/29/2019 04:19:06 PM",41.8926701,-87.628106353,"(41.8926701, -87.628106353)",01/22/2019 07:15:00 AM
11573737,"JC125309","013XX S INDEPENDENCE BLVD","2092","NARCOTICS","SOLICIT NARCOTICS ON PUBLICWAY","STREET","true","false",1011,10,24,29,"18",1151303,1893651,2019,"01/29/2019 04:19:06 PM",41.864062245,-87.720049633,"(41.864062245, -87.720049633)",01/22/2019 09:30:00 AM
11574121,"JC125774","002XX E 47TH ST","2024","NARCOTICS","POSS: HEROIN(WHITE)","PARKING LOT/GARAGE(NON.RESID.)","true","false",224,2,3,38,"18",1178510,1873911,2019,"01/29/2019 04:19:06 PM",41.809317464,-87.620775574,"(41.809317464, -87.620775574)",01/22/2019 04:34:00 PM
11574718,"JC126498","083XX S HOLLAND RD","0860","THEFT","RETAIL THEFT","SMALL RETAIL STORE","false","false",622,6,21,44,"06",1175640,1849717,2019,"01/30/2019 04:14:07 PM",41.742991296,-87.632025815,"(41.742991296, -87.632025815)",01/23/2019 10:00:00 AM
11574878,"JC126671","084XX S VINCENNES AVE","1822","NARCOTICS","MANU/DEL:CANNABIS OVER 10 GMS","STREET","true","false",622,6,21,71,"18",1173824,1848935,2019,"01/30/2019 04:14:07 PM",41.740885807,-87.638702811,"(41.740885807, -87.638702811)",01/23/2019 11:21:00 AM
11574912,"JC126734","004XX S DAMEN AVE","0810","THEFT","OVER $500","CTA TRAIN","false","false",1225,12,27,28,"06",1163135,1897829,2019,"01/30/2019 04:14:07 PM",41.875286899,-87.67649739,"(41.875286899, -87.67649739)",01/23/2019 11:35:00 AM
11575980,"JC127869","012XX W 90TH ST","0820","THEFT","$500 AND UNDER","RESIDENCE","false","false",2222,22,21,73,"06",1169426,1845094,2019,"01/30/2019 04:14:07 PM",41.730441843,-87.654927641,"(41.730441843, -87.654927641)",01/23/2019 12:00:00 PM
11575165,"JC126886","004XX N LARAMIE AVE","0265","CRIM SEXUAL ASSAULT","AGGRAVATED: OTHER","SCHOOL, PRIVATE, BUILDING","false","false",1523,15,37,25,"02",1141628,1902375,2019,"01/30/2019 04:14:07 PM",41.888186183,-87.75535096,"(41.888186183, -87.75535096)",01/23/2019 12:30:00 PM
